vds_target__boat__target_number,vds_target__boat__lon,vds_target__boat__lat,vds_target__boat__xpixel,vds_target__boat__ypixel,vds_target__boat__detecttime,vds_target__boat__inc_ang,vds_target__boat__reliability,vds_target__boat__false_alarm_cause,vds_target__boat__nr_pixels,vds_target__boat__length,vds_target__boat__width,vds_target__boat__size_class,vds_target__boat__heading_range,vds_target__boat__heading_north,vds_target__boat__lwh_reliability,vds_target__boat__manual_add,vds_target__boat__noise,vds_target__boat__significance,vds_target__boat__threshold_tile,vds_target__boat__max_value
1041,72.790093,18.925302,9677,12093,02:56.9,36.378,0,,52,98,53,M,0,17,FALSE,FALSE,0,"0.0,0.0,16.373,20.141","0.0,0.0,96.227,149.772","0,0,422,731"
1042,72.804273,18.916979,9513,12154,02:56.9,36.291,3,AA,13,47,24,S,0,164,FALSE,FALSE,0,"0.0,0.0,0.863,5.325","0.0,0.0,102.745,183.687","0,0,52,281"
1043,72.811784,18.923478,9449,12070,02:56.9,36.257,3,AA,16,64,24,S,0,6,FALSE,FALSE,0,"0.0,0.0,4.747,3.671","0.0,0.0,105.357,190.075","0,0,156,211"
1044,72.835923,18.904646,9160,12224,02:56.9,36.102,3,AA,15,190,30,L,0,175,FALSE,FALSE,0,"0.0,0.0,0.514,3.273","0.0,0.0,106.629,208.198","0,0,51,218"
1045,72.846247,18.902126,9048,12231,02:56.9,36.042,3,AA,55,187,28,L,0,8,FALSE,FALSE,0,"0.0,0.0,1.17,6.415","0.0,0.0,110.549,223.77","0,0,79,420"
1046,72.832728,18.907022,9198,12205,02:56.9,36.123,3,AA,4,22,22,S,0,100,FALSE,FALSE,0,"0.0,0.0,0.871,4.252","0.0,0.0,107.605,199.712","0,0,55,247"
1047,72.847998,18.906459,9039,12181,02:56.9,36.037,0,,162,209,74,L,0,2,FALSE,FALSE,0,"0.0,0.0,37.336,49.763","0.0,0.0,111.104,218.421","0,0,1107,2654"
1048,72.838143,18.916052,9161,12098,02:56.9,36.103,0,,1,10,10,S,0,100,FALSE,FALSE,0,"0.0,0.0,3.388,8.084","0.0,0.0,115.175,203.039","0,0,128,425"
1049,72.862912,18.895578,8862,12268,02:56.9,35.942,0,,175,218,78,L,0,3,FALSE,FALSE,0,"0.0,0.0,33.489,35.493","0.0,0.0,115.113,324.553","0,0,1057,4891"
1050,72.85499,18.898017,8949,12257,02:56.9,35.989,0,,142,241,56,L,0,5,FALSE,FALSE,0,"0.0,0.0,20.324,26.347","0.0,0.0,112.464,278.589","0,0,644,2182"
1051,72.851587,18.900789,8990,12234,02:56.9,36.011,0,,224,184,117,L,0,64,FALSE,FALSE,0,"0.0,0.0,44.416,48.637","0.0,0.0,111.761,234.769","0,0,1329,2745"
1052,72.864198,18.901428,8861,12203,02:56.9,35.942,0,,172,220,78,L,0,172,FALSE,FALSE,0,"0.0,0.0,36.531,70.96","0.0,0.0,117.375,320.645","0,0,1172,9913"
1053,72.868677,18.904902,8822,12157,02:56.9,35.921,0,,173,211,79,L,0,160,FALSE,FALSE,0,"0.0,0.0,25.953,17.003","0.0,0.0,118.112,325.033","0,0,850,2367"
1054,72.861574,18.911844,8910,12097,02:56.9,35.968,0,,74,179,41,L,0,8,FALSE,FALSE,0,"0.0,0.0,10.311,24.345","0.0,0.0,112.275,239.127","0,0,331,1442"
1055,72.870873,18.910943,8812,12088,02:56.9,35.915,0,,177,196,86,L,0,2,FALSE,FALSE,0,"0.0,0.0,45.609,79.548","0.0,0.0,117.113,303.061","0,0,1412,6973"
1056,72.876063,18.893164,8721,12268,02:56.9,35.866,0,,58,108,49,M,0,13,FALSE,FALSE,0,"0.0,0.0,19.686,67.193","0.0,0.0,117.758,321.606","0,0,638,9711"
1057,72.879398,18.894342,8689,12249,02:56.9,35.849,0,,68,115,57,M,0,134,FALSE,FALSE,0,"0.0,0.0,18.736,10.025","0.0,0.0,117.755,310.575","0,0,605,1013"
1058,72.874684,18.897803,8745,12221,02:56.9,35.879,0,,43,95,44,M,0,17,FALSE,FALSE,0,"0.0,0.0,27.244,9.27","0.0,0.0,119.074,1049.722","0,0,886,1692"
1059,72.8696,18.89802,8798,12229,02:56.9,35.908,0,,400,892,72,L,0,4,FALSE,FALSE,0,"0.0,0.0,25.664,69.459","0.0,0.0,120.064,977.969","0,0,851,10830"
1060,72.875993,18.901859,8740,12175,02:56.9,35.876,0,,65,102,60,M,0,35,FALSE,FALSE,0,"0.0,0.0,17.234,6.198","0.0,0.0,120.705,325.33","0,0,593,946"
1061,72.872648,18.904442,8780,12154,02:56.9,35.898,0,,70,97,67,M,0,161,FALSE,FALSE,0,"0.0,0.0,9.577,6.204","0.0,0.0,120.027,328.826","0,0,349,905"
1062,72.87804,18.903363,8722,12155,02:56.9,35.867,0,,91,140,63,L,0,146,FALSE,FALSE,0,"0.0,0.0,16.079,17.09","0.0,0.0,120.062,318.787","0,0,548,1777"
1063,72.876251,18.905034,8744,12141,02:56.9,35.878,0,,157,170,89,L,0,136,FALSE,FALSE,0,"0.0,0.0,23.908,23.478","0.0,0.0,119.839,321.141","0,0,787,2420"
1064,72.875524,18.908121,8758,12109,02:56.9,35.886,0,,56,94,54,M,0,8,FALSE,FALSE,0,"0.0,0.0,21.938,47.721","0.0,0.0,118.554,307.803","0,0,707,4352"
1065,72.878545,18.909177,8729,12092,02:56.9,35.87,0,,38,76,46,M,0,8,FALSE,FALSE,0,"0.0,0.0,16.172,34.875","0.0,0.0,119.193,268.341","0,0,542,2246"
1066,72.881081,18.908801,8702,12091,02:56.9,35.856,0,,21,53,36,S,0,2,FALSE,FALSE,0,"0.0,0.0,7.338,7.834","0.0,0.0,118.697,263.181","0,0,267,559"
1067,72.875509,18.910898,8764,12079,02:56.9,35.889,0,,94,140,65,L,0,155,FALSE,FALSE,0,"0.0,0.0,17.527,19.054","0.0,0.0,118.086,300.563","0,0,578,1663"
1068,72.809774,18.932168,9488,11981,02:56.9,36.278,3,AA,32,88,36,M,0,179,FALSE,FALSE,0,"0.0,0.0,2.89,4.619","0.0,0.0,101.765,171.426","0,0,110,231"
1069,72.803192,18.941695,9576,11892,02:56.9,36.325,0,,4,22,22,S,0,100,FALSE,FALSE,0,"0.0,0.0,1.618,7.59","0.0,0.0,99.939,155.184","0,0,70,303"
1070,72.841639,18.925166,9144,11993,02:56.9,36.094,0,,4,22,22,S,0,100,FALSE,FALSE,0,"0.0,0.0,8.135,16.036","0.0,0.0,113.538,239.008","0,0,251,934"
1071,72.846298,18.926191,9098,11973,02:56.9,36.069,0,,10,33,28,S,0,144,FALSE,FALSE,0,"0.0,0.0,10.09,17.481","0.0,0.0,112.158,238.375","0,0,314,1038"
1072,72.856699,18.922136,8982,11996,02:56.9,36.007,3,TP,14,37,37,S,0,100,FALSE,FALSE,0,"0.0,0.0,1.658,7.872","0.0,0.0,110.017,234.971","0,0,87,521"
1073,72.858519,18.92395,8967,11973,02:56.9,35.999,3,TP,14,49,24,S,0,8,FALSE,FALSE,0,"0.0,0.0,1.311,3.17","0.0,0.0,111.097,246.488","0,0,80,279"
1074,72.864094,18.924717,8911,11954,02:56.9,35.968,0,,63,99,63,M,0,18,FALSE,FALSE,0,"0.0,0.0,31.71,19.925","0.0,0.0,114.274,301.667","0,0,987,2032"
1075,72.871737,18.92233,8827,11965,02:56.9,35.923,0,,390,360,105,L,0,180,FALSE,FALSE,0,"0.0,0.0,42.708,61.425","0.0,0.0,115.439,310.945","0,0,1307,5493"
1076,72.866922,18.924825,8882,11947,02:56.9,35.953,0,,59,85,66,M,0,26,FALSE,FALSE,0,"0.0,0.0,8.351,92.689","0.0,0.0,114.656,312.991","0,0,297,9457"
1077,72.860766,18.927386,8951,11932,02:56.9,35.99,0,,47,85,51,M,0,11,FALSE,FALSE,0,"0.0,0.0,14.585,18.584","0.0,0.0,113.019,296.656","0,0,467,1790"
1078,72.862597,18.926871,8931,11934,02:56.9,35.979,0,,53,86,57,M,0,16,FALSE,FALSE,0,"0.0,0.0,17.824,19.826","0.0,0.0,113.709,304.965","0,0,567,2070"
1079,72.869366,18.925898,8859,11931,02:56.9,35.94,0,,42,79,49,M,0,8,FALSE,FALSE,0,"0.0,0.0,8.951,18.447","0.0,0.0,115.125,321.686","0,0,315,2050"
1080,72.864474,18.927064,8912,11928,02:56.9,35.969,0,,57,99,52,M,0,179,FALSE,FALSE,0,"0.0,0.0,17.872,13.461","0.0,0.0,114.935,316.861","0,0,584,1616"
1081,72.857723,18.929555,8987,11915,02:56.9,36.009,0,,29,68,41,S,0,83,FALSE,FALSE,0,"0.0,0.0,4.625,14.144","0.0,0.0,112.046,259.141","0,0,178,997"
1082,72.868201,18.92826,8876,11908,02:56.9,35.95,0,,49,86,53,M,0,26,FALSE,FALSE,0,"0.0,0.0,17.437,12.955","0.0,0.0,115.264,325.804","0,0,570,1544"
1083,72.861239,18.929716,8951,11906,02:56.9,35.99,0,,47,87,49,M,0,11,FALSE,FALSE,0,"0.0,0.0,22.861,16.086","0.0,0.0,113.382,313.037","0,0,710,1846"
1084,72.860499,18.930836,8961,11896,02:56.9,35.995,0,,22,54,37,S,0,1,FALSE,FALSE,0,"0.0,0.0,6.331,4.49","0.0,0.0,113.702,318.431","0,0,234,712"
1085,72.864855,18.930842,8916,11887,02:56.9,35.971,0,,56,108,48,M,0,15,FALSE,FALSE,0,"0.0,0.0,17.297,26.147","0.0,0.0,115.943,329.084","0,0,572,3772"
1086,72.862722,18.931771,8940,11881,02:56.9,35.984,0,,46,88,49,M,0,11,FALSE,FALSE,0,"0.0,0.0,18.647,22.049","0.0,0.0,114.519,327.18","0,0,599,2922"
1087,72.866465,18.931621,8901,11876,02:56.9,35.963,0,,53,87,55,M,0,23,FALSE,FALSE,0,"0.0,0.0,28.286,16.129","0.0,0.0,116.132,333.996","0,0,896,2182"
1088,72.859206,18.933042,8979,11875,02:56.9,36.005,0,,44,94,45,M,0,22,FALSE,FALSE,0,"0.0,0.0,12.388,10.99","0.0,0.0,114.677,1028.78","0,0,422,2201"
1089,72.858075,18.934144,8993,11865,02:56.9,36.013,0,,46,83,53,M,0,22,FALSE,FALSE,0,"0.0,0.0,15.324,15.573","0.0,0.0,114.37,986.655","0,0,507,2945"
1090,72.878582,18.912214,8735,12059,02:56.9,35.874,0,,38,95,38,M,0,6,FALSE,FALSE,0,"0.0,0.0,12.636,15.908","0.0,0.0,118.923,300.788","0,0,435,1355"
1091,72.876118,18.915798,8768,12026,02:56.9,35.891,0,,112,136,82,L,0,178,FALSE,FALSE,0,"0.0,0.0,11.96,43.355","0.0,0.0,116.815,300.165","0,0,409,3584"
1092,72.874189,18.916779,8790,12019,02:56.9,35.903,0,,38,98,37,M,0,28,FALSE,FALSE,0,"0.0,0.0,7.763,5.946","0.0,0.0,116.576,312.76","0,0,283,654"
1093,72.880273,18.92148,8737,11957,02:56.9,35.875,0,,58,101,53,M,0,1,FALSE,FALSE,0,"0.0,0.0,14.696,12.109","0.0,0.0,116.278,265.693","0,0,477,812"
1094,72.91115,18.91581,8406,11957,02:56.9,35.696,0,,92,192,47,L,0,172,FALSE,FALSE,0,"0.0,0.0,15.989,41.848","0.0,0.0,132.179,270.884","0,0,571,2865"
1095,72.911039,18.915741,8407,11958,02:56.9,35.696,0,,148,255,57,L,0,176,FALSE,FALSE,0,"0.0,0.0,16.104,48.93","0.0,0.0,130.664,253.093","0,0,571,2865"
1096,72.934042,18.909902,8157,11975,02:56.9,35.561,0,,2,56,10,S,0,145,FALSE,FALSE,0,"0.0,0.0,3.251,4.873","0.0,0.0,130.484,232.063","0,0,137,323"
1097,72.935027,18.909989,8147,11972,02:56.9,35.555,0,,2,22,10,S,0,100,FALSE,FALSE,0,"0.0,0.0,3.337,4.622","0.0,0.0,130.615,227.71","0,0,140,301"
1099,72.858113,18.938612,9002,11817,02:56.9,36.017,0,,41,91,44,M,0,9,FALSE,FALSE,0,"0.0,0.0,17.216,7.545","0.0,0.0,115.526,1091.247","0,0,571,1631"
1100,72.853701,18.941659,9054,11793,02:56.9,36.045,0,,268,257,103,L,0,6,FALSE,FALSE,0,"0.0,0.0,50.514,95.589","0.0,0.0,117.003,1132.714","0,0,1586,17410"
1101,72.866962,18.933588,8900,11854,02:56.9,35.963,0,,54,88,57,M,0,21,FALSE,FALSE,0,"0.0,0.0,9.464,30.649","0.0,0.0,115.742,333.294","0,0,327,3574"
1102,72.862892,18.934514,8944,11852,02:56.9,35.986,0,,54,101,50,M,0,17,FALSE,FALSE,0,"0.0,0.0,13.626,29.437","0.0,0.0,114.818,328.623","0,0,451,3832"
1103,72.860501,18.935131,8970,11850,02:56.9,36,0,,40,79,47,M,0,20,FALSE,FALSE,0,"0.0,0.0,33.48,14.037","0.0,0.0,116.122,1153.296","0,0,1078,3043"
1104,72.868968,18.933936,8880,11846,02:56.9,35.952,0,,43,84,47,M,0,18,FALSE,FALSE,0,"0.0,0.0,18.386,30.497","0.0,0.0,115.11,323.95","0,0,583,3101"
1105,72.858281,18.93706,8997,11834,02:56.9,36.015,0,,31,68,42,S,0,15,FALSE,FALSE,0,"0.0,0.0,11.996,6.173","0.0,0.0,115.555,1112.859","0,0,416,1385"
1106,72.865814,18.936036,8917,11830,02:56.9,35.972,0,,83,105,81,M,0,165,FALSE,FALSE,0,"0.0,0.0,18.246,57.909","0.0,0.0,115.381,330.575","0,0,587,7143"
1107,72.870292,18.935215,8869,11830,02:56.9,35.946,0,,49,90,51,M,0,17,FALSE,FALSE,0,"0.0,0.0,7.617,17.847","0.0,0.0,114.537,316.112","0,0,266,1740"
1108,72.860054,18.938167,8981,11818,02:56.9,36.006,0,,17,43,34,S,0,26,FALSE,FALSE,0,"0.0,0.0,5.533,7.507","0.0,0.0,116.595,1127.452","0,0,220,1650"
1109,72.864136,18.937776,8938,11814,02:56.9,35.983,0,,43,80,50,M,0,22,FALSE,FALSE,0,"0.0,0.0,18.634,9.872","0.0,0.0,115.184,329.316","0,0,601,1426"
1110,72.868387,18.937265,8893,11812,02:56.9,35.959,0,,40,88,41,M,0,4,FALSE,FALSE,0,"0.0,0.0,10.786,9.471","0.0,0.0,115.839,333.201","0,0,364,1180"
1111,72.866476,18.938331,8915,11804,02:56.9,35.971,0,,57,95,54,M,0,11,FALSE,FALSE,0,"0.0,0.0,14.983,57.126","0.0,0.0,115.822,333.028","0,0,490,7278"
1112,72.862938,18.939965,8955,11793,02:56.9,35.992,0,,26,55,43,S,0,28,FALSE,FALSE,0,"0.0,0.0,17.234,12.945","0.0,0.0,115.516,1156.144","0,0,562,2664"
1113,72.859463,18.94096,8993,11790,02:56.9,36.013,0,,16,43,33,S,0,5,FALSE,FALSE,0,"0.0,0.0,6.221,3.6","0.0,0.0,116.727,1422.064","0,0,240,1004"
1114,72.865295,18.940607,8932,11782,02:56.9,35.98,0,,59,99,57,M,0,21,FALSE,FALSE,0,"0.0,0.0,7.486,27.653","0.0,0.0,115.751,323.439","0,0,271,3988"
1115,72.862006,18.941568,8968,11778,02:56.9,35.999,0,,40,81,46,M,0,27,FALSE,FALSE,0,"0.0,0.0,6.096,16.497","0.0,0.0,117.034,1460.412","0,0,237,3955"
1116,72.880384,18.930589,8755,11859,02:56.9,35.884,3,AA,35,147,39,L,0,178,FALSE,FALSE,0,"0.0,0.0,0.549,4.939","0.0,0.0,115.151,264.773","0,0,59,381"
1117,72.883762,18.932922,8725,11828,02:56.9,35.868,3,AA,15,58,28,S,0,15,FALSE,FALSE,0,"0.0,0.0,0.369,4.139","0.0,0.0,116.466,261.821","0,0,54,329"
1118,72.881017,18.935127,8758,11810,02:56.9,35.886,0,,94,174,52,L,0,5,FALSE,FALSE,0,"0.0,0.0,16.138,57.462","0.0,0.0,115.785,260.795","0,0,505,3402"
1119,72.882345,18.937837,8750,11778,02:56.9,35.882,3,AA,12,46,25,S,0,19,FALSE,FALSE,0,"0.0,0.0,2.613,5.912","0.0,0.0,116.173,260.834","0,0,118,421"
1200,72.873521,18.884949,8730,12361,02:56.9,35.871,0,,7,36,17,S,0,92,FALSE,FALSE,0,"0.0,0.0,2.791,1.619","0.0,0.0,114.49,310.446","0,0,124,283"
1223,72.825016,18.873803,9208,12575,02:56.9,36.128,3,AA,17,122,30,L,0,33,FALSE,FALSE,0,"0.0,0.0,2.345,3.872","0.0,0.0,97.42,220.088","0,0,92,259"
1224,72.826742,18.878498,9200,12521,02:56.9,36.124,3,AA,10,37,27,S,0,10,FALSE,FALSE,0,"0.0,0.0,1.408,3.855","0.0,0.0,99.05,220.864","0,0,72,264"
1225,72.826083,18.87477,9199,12563,02:56.9,36.123,0,,6,28,18,S,0,55,FALSE,FALSE,0,"0.0,0.0,1.423,3.036","0.0,0.0,97.984,222.605","0,0,72,224"
1226,72.829878,18.877743,9166,12523,02:56.9,36.105,3,AA,18,85,25,M,0,9,FALSE,FALSE,0,"0.0,0.0,0.612,3.647","0.0,0.0,99.73,222.311","0,0,53,254"
1232,72.857145,18.872919,8874,12521,02:56.9,35.949,0,,392,421,150,L,0,172,FALSE,FALSE,0,"0.0,0.0,40.81,38.446","0.0,0.0,110.715,273.987","0,0,1240,3183"
1233,72.857683,18.877474,8878,12472,02:56.9,35.951,0,,252,218,111,L,0,100,FALSE,FALSE,0,"0.0,0.0,34.749,75.144","0.0,0.0,110.864,239.126","0,0,1047,4246"
1239,72.865867,18.87633,8791,12468,02:56.9,35.904,0,,112,138,76,L,0,155,FALSE,FALSE,0,"0.0,0.0,18.597,26.47","0.0,0.0,112.87,241.455","0,0,579,1585"
1248,72.79996,18.894772,9511,12400,02:56.9,36.29,3,TP,4,31,12,S,0,29,FALSE,FALSE,0,"0.0,0.0,1.363,4.6","0.0,0.0,95.907,187.637","0,0,56,242"
1249,72.836921,18.881463,9101,12470,02:56.9,36.071,0,,235,228,100,L,0,179,FALSE,FALSE,0,"0.0,0.0,56.09,57.201","0.0,0.0,102.682,226.79","0,0,1500,3098"
1250,72.829414,18.884988,9186,12447,02:56.9,36.116,3,TP,4,22,17,S,0,100,FALSE,FALSE,0,"0.0,0.0,1.662,2.824","0.0,0.0,101.8,225.776","0,0,81,234"
1251,72.834504,18.887187,9138,12413,02:56.9,36.09,3,AA,16,102,22,M,0,12,FALSE,FALSE,0,"0.0,0.0,0.545,3.159","0.0,0.0,103.951,225.661","0,0,54,255"
1252,72.832704,18.889754,9162,12389,02:56.9,36.103,3,AA,16,48,34,S,0,67,FALSE,FALSE,0,"0.0,0.0,2.126,5.275","0.0,0.0,104.483,227.184","0,0,97,376"
1253,72.847475,18.887224,9004,12388,02:56.9,36.018,0,,73,170,42,L,0,7,FALSE,FALSE,0,"0.0,0.0,10.068,16.734","0.0,0.0,107.877,265.377","0,0,325,1320"
1254,72.839764,18.890697,9091,12366,02:56.9,36.065,0,,254,174,144,L,0,164,FALSE,FALSE,0,"0.0,0.0,13.59,169.494","0.0,0.0,105.935,226.56","0,0,404,8997"
1255,72.843614,18.89536,9061,12308,02:56.9,36.049,0,,173,191,87,L,0,174,FALSE,FALSE,0,"0.0,0.0,49.788,66.681","0.0,0.0,108.277,258.363","0,0,1425,4856"
1256,72.833909,18.89902,9169,12288,02:56.9,36.107,3,AA,12,34,34,S,0,100,FALSE,FALSE,0,"0.0,0.0,2.519,4.005","0.0,0.0,104.956,220.844","0,0,104,282"
1257,72.852677,18.87902,8933,12465,02:56.9,35.98,0,,207,189,107,L,0,169,FALSE,FALSE,0,"0.0,0.0,40.15,67.538","0.0,0.0,109.153,240.107","0,0,1192,3899"
1258,72.851311,18.885625,8961,12397,02:56.9,35.995,0,,14,37,37,S,0,100,FALSE,FALSE,0,"0.0,0.0,0.855,8.749","0.0,0.0,107.965,237.439","0,0,67,569"
1259,72.863001,18.888402,8846,12344,02:56.9,35.933,0,,32,81,36,M,0,15,FALSE,FALSE,0,"0.0,0.0,2.966,6.073","0.0,0.0,112.265,309.769","0,0,129,738"
1260,72.874448,18.876186,8702,12453,02:56.9,35.856,0,,184,491,84,L,0,85,FALSE,FALSE,0,"0.0,0.0,15.051,101.356","0.0,0.0,112.864,234.801","0,0,468,5532"
1261,72.876858,18.879951,8685,12408,02:56.9,35.847,0,,71,109,61,M,0,12,FALSE,FALSE,0,"0.0,0.0,14.246,67.529","0.0,0.0,114.532,240.874","0,0,448,3813"
1262,72.872446,18.881566,8734,12399,02:56.9,35.873,0,,43,88,44,M,0,13,FALSE,FALSE,0,"0.0,0.0,18.878,22.832","0.0,0.0,113.652,291.146","0,0,581,2169"
1263,72.879512,18.889667,8678,12299,02:56.9,35.843,0,,35,78,43,M,0,15,FALSE,FALSE,0,"0.0,0.0,9.961,16.904","0.0,0.0,116.386,296.489","0,0,334,1500"
1264,72.872837,18.890624,8749,12301,02:56.9,35.881,0,,148,137,103,L,0,100,FALSE,FALSE,0,"0.0,0.0,26.656,155.499","0.0,0.0,116.625,312.956","0,0,838,24696"
1265,72.904617,18.885144,8409,12298,02:56.9,35.697,0,,12,101,21,M,0,6,FALSE,FALSE,0,"0.0,0.0,4.186,5.549","0.0,0.0,125.382,220.626","0,0,161,325"
